# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
0	0.10741993	0.00011813127	-0.66181004	-0.6629448	-8e-06	1.3620848e-08
1.001321754779413e-11	0.10742017	0.00017332104	-0.66180116	-0.6629361	-8e-06	1.3620876e-08
2.0040823345057607e-11	0.107420914	0.00022721315	-0.6617776	-0.6629124	-8e-06	1.3620972e-08
3.002424491062906e-11	0.10742143	0.00027909564	-0.66174006	-0.6628746	-8e-06	1.3621036e-08
4.0023650647051786e-11	0.10742183	0.0003288296	-0.66168886	-0.66282314	-8e-06	1.3621086e-08
5.004620095747027e-11	0.10742236	0.0003765359	-0.6616247	-0.6627585	-8e-06	1.3621155e-08
6.002310977152624e-11	0.107423216	0.00042171107	-0.6615487	-0.66268206	-8e-06	1.3621262e-08
7.004576967379199e-11	0.107424535	0.0004642513	-0.6614609	-0.6625937	-8e-06	1.3621431e-08
8.001689136850371e-11	0.107426286	0.0005032322	-0.6613633	-0.6624953	-8e-06	1.3621653e-08
9.004485488772327e-11	0.10742822	0.00053888717	-0.6612554	-0.6623868	-8e-06	1.3621898e-08
1.0001861398022774e-10	0.107430086	0.0005707171	-0.6611397	-0.66227037	-8e-06	1.3622134e-08
1.1004383087516664e-10	0.10743189	0.0005991045	-0.661016	-0.6621457	-8e-06	1.3622362e-08
1.2001330439820692e-10	0.10743376	0.0006235917	-0.6608864	-0.6620153	-8e-06	1.3622602e-08
1.3002526926136565e-10	0.107435904	0.00064439	-0.660751	-0.6618789	-8e-06	1.3622873e-08
1.400366292456861e-10	0.107438445	0.00066119013	-0.6606113	-0.6617383	-8e-06	1.3623194e-08
1.5004819444825889e-10	0.107441194	0.00067381805	-0.66046846	-0.6615944	-8e-06	1.3623543e-08
1.600076623584017e-10	0.107443884	0.0006822316	-0.66032434	-0.6614493	-8e-06	1.3623884e-08
1.7002032217346935e-10	0.107446425	0.0006866641	-0.6601786	-0.66130245	-8e-06	1.3624207e-08
1.8003314970574497e-10	0.10744891	0.0006872334	-0.66003287	-0.66115564	-8e-06	1.3624522e-08
1.9004589760948488e-10	0.1074515	0.00068399386	-0.6598885	-0.6610102	-8e-06	1.362485e-08
2.000057464459836e-10	0.10745419	0.0006770376	-0.65974694	-0.66086775	-8e-06	1.3625192e-08
2.1001822427033283e-10	0.10745698	0.00066639646	-0.65960795	-0.6607277	-8e-06	1.3625546e-08
2.2003058035759433e-10	0.107459754	0.00065220695	-0.65947306	-0.66059184	-8e-06	1.3625896e-08
2.3004269194502112e-10	0.10746237	0.00063463463	-0.65934324	-0.66046107	-8e-06	1.3626229e-08
2.4000199042682103e-10	0.10746478	0.0006140489	-0.65922	-0.66033685	-8e-06	1.3626534e-08
2.5001416118089604e-10	0.10746706	0.0005905315	-0.6591027	-0.6602186	-8e-06	1.3626824e-08
2.6002676153478593e-10	0.10746929	0.0005644323	-0.6589927	-0.6601079	-8e-06	1.3627106e-08
