# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08394306	3.8444996e-05	-0.6549934	-0.65583736	-8e-06
1.0050518241354398e-11	0.083947815	0.00011483833	-0.65498066	-0.6558248	-8e-06
2.003967935888639e-11	0.08395672	0.00018703818	-0.6549479	-0.6557919	-8e-06
3.000988517474946e-11	0.083961874	0.0002553667	-0.6548954	-0.6557394	-8e-06
4.002825083462155e-11	0.08395933	0.00032152046	-0.6548235	-0.6556673	-8e-06
5e-11	0.08395292	0.0003873847	-0.6547329	-0.6555766	-8e-06
6.002569598543479e-11	0.08394911	0.0004549281	-0.6546231	-0.65546674	-8e-06
7.004356245190836e-11	0.083951525	0.0005230782	-0.6544951	-0.65533864	-8e-06
8.00038575181606e-11	0.08395802	0.00058907806	-0.65434986	-0.65519327	-8e-06
9.002098542541402e-11	0.08396359	0.0006518642	-0.6541862	-0.6550295	-8e-06
1e-10	0.08396471	0.00071124954	-0.65400577	-0.65484893	-8e-06
1.1005001284909003e-10	0.083962284	0.0007701318	-0.653807	-0.6546499	-8e-06
1.2001237540639605e-10	0.08396013	0.0008297562	-0.65359324	-0.65443593	-8e-06
1.3002848137118384e-10	0.08396125	0.00089107594	-0.6533616	-0.6542041	-8e-06
1.4004459933021866e-10	0.08396568	0.0009520796	-0.65311354	-0.6539558	-8e-06
1.5e-10	0.08397079	0.0010102969	-0.6528509	-0.653693	-8e-06
1.600206908759717e-10	0.08397403	0.0010661059	-0.6525707	-0.65341246	-8e-06
1.7003633171269263e-10	0.08397485	0.0011205502	-0.65227467	-0.6531163	-8e-06
1.8005208275767623e-10	0.08397471	0.0011755475	-0.6519632	-0.6528044	-8e-06
1.9001498346395887e-10	0.08397567	0.0012316308	-0.6516378	-0.6524788	-8e-06
2e-10	0.08397871	0.001288351	-0.6512965	-0.6521371	-8e-06
2.1001559681272153e-10	0.08398311	0.0013441228	-0.65093887	-0.6517792	-8e-06
2.2003134902888345e-10	0.08398725	0.0013979974	-0.65056604	-0.6514061	-8e-06
2.300469946322288e-10	0.083990075	0.0014505866	-0.6501782	-0.6510179	-8e-06
2.4000989188592486e-10	0.08399173	0.0015029267	-0.64977765	-0.65061694	-8e-06
2.5e-10	0.083993256	0.0015563737	-0.6493612	-0.65020007	-8e-06
2.6001984069083965e-10	0.083995745	0.0016108166	-0.6489285	-0.64976704	-8e-06
2.7003551767030705e-10	0.0839994	0.0016651398	-0.64848125	-0.64931935	-8e-06
2.800510935468932e-10	0.0840036	0.0017185843	-0.64801913	-0.6488569	-8e-06
2.9001376067279083e-10	0.08400735	0.0017708604	-0.64754486	-0.6483821	-8e-06
3e-10	0.084010236	0.0018230542	-0.64705473	-0.64789164	-8e-06
3.1001580795463115e-10	0.08401253	0.0018759578	-0.64654845	-0.6473848	-8e-06
3.20027765854144e-10	0.08401497	0.0019296757	-0.6460275	-0.64686334	-8e-06
3.300397608797842e-10	0.08401813	0.0019838777	-0.6454917	-0.64632714	-8e-06
3.400516193507157e-10	0.08402193	0.002038	-0.64494103	-0.645776	-8e-06
3.5e-10	0.0840258	0.0020914157	-0.6443791	-0.6452135	-8e-06
3.6001668427864824e-10	0.084029235	0.0021450443	-0.64379835	-0.6446322	-8e-06
3.700275550294413e-10	0.08403208	0.0021989415	-0.64320284	-0.6440362	-8e-06
3.800380100427059e-10	0.08403472	0.00225348	-0.6425924	-0.6434251	-8e-06
3.9004820043554327e-10	0.084037565	0.002308652	-0.6419666	-0.6427988	-8e-06
4.0005310275878914e-10	0.0840408	0.002364157	-0.6413259	-0.64215755	-8e-06
4.100139352975768e-10	0.08404426	0.0024195106	-0.64067286	-0.64150393	-8e-06
4.2002395863162554e-10	0.084047645	0.0024751571	-0.64000124	-0.64083165	-8e-06
4.300340285496785e-10	0.0840507	0.0025309527	-0.63931406	-0.6401438	-8e-06
4.4004422120908033e-10	0.084053434	0.0025870935	-0.6386113	-0.6394404	-8e-06
4.5005282200712347e-10	0.08405604	0.0026436949	-0.63789296	-0.63872147	-8e-06
4.600119023143292e-10	0.084058695	0.0027004587	-0.6371627	-0.6379905	-8e-06
4.700222981965727e-10	0.08406155	0.002757808	-0.6364127	-0.6372398	-8e-06
4.800327728754087e-10	0.08406449	0.0028152645	-0.635647	-0.6364734	-8e-06
4.900432944397431e-10	0.08406737	0.002872702	-0.63486534	-0.63569105	-8e-06
5.00052777545017e-10	0.08407001	0.0029301136	-0.6340679	-0.6348928	-8e-06
5.10011625007499e-10	0.084072374	0.0029873112	-0.6332586	-0.6340828	-8e-06
5.200220982765418e-10	0.084074564	0.0030449785	-0.6324291	-0.6332526	-8e-06
5.300325321217972e-10	0.08407678	0.003102783	-0.63158387	-0.63240653	-8e-06
5.40042930676704e-10	0.08407915	0.0031605398	-0.6307226	-0.6315445	-8e-06
5.500527308396836e-10	0.08408162	0.0032179863	-0.6298455	-0.6306666	-8e-06
5.600108359575865e-10	0.08408401	0.0032746596	-0.6289572	-0.62977755	-8e-06
5.700210581261402e-10	0.084086165	0.00333114	-0.6280487	-0.6288682	-8e-06
5.800312266216185e-10	0.084088065	0.0033872216	-0.6271246	-0.6279432	-8e-06
5.900413801746904e-10	0.08408987	0.003442942	-0.626185	-0.62700284	-8e-06
6e-10	0.084091775	0.0034978748	-0.6252352	-0.62605214	-8e-06
6.100433512100482e-10	0.08409388	0.003552483	-0.62426215	-0.6250783	-8e-06
6.200006769433431e-10	0.08409609	0.0036055709	-0.6232828	-0.624098	-8e-06
6.300107026569295e-10	0.08409819	0.003657755	-0.62228376	-0.6230981	-8e-06
6.400206723753338e-10	0.08410008	0.003708772	-0.6212704	-0.62208396	-8e-06
6.5e-10	0.08410185	0.0037585131	-0.62024635	-0.62105906	-8e-06
6.600098111838471e-10	0.08410371	0.0038071994	-0.6192058	-0.6200175	-8e-06
6.700197730815197e-10	0.084105805	0.0038544412	-0.6181521	-0.61896294	-8e-06
6.800297629124185e-10	0.08410812	0.0038999403	-0.6170857	-0.6178956	-8e-06
6.900397538077956e-10	0.08411052	0.0039434894	-0.6160072	-0.6168162	-8e-06
7.000000000000001e-10	0.08411284	0.003984827	-0.6149224	-0.6157306	-8e-06
7.100038799713474e-10	0.08411513	0.004024362	-0.6138219	-0.61462915	-8e-06
7.200139073165406e-10	0.084117524	0.0040619	-0.61271024	-0.6135165	-8e-06
7.300239281358136e-10	0.084120154	0.004097255	-0.61158866	-0.61239403	-8e-06
