# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08394307	3.8444996e-05	-0.6549934	-0.65583736	-8e-06
1.0050518241354398e-11	0.083947815	0.00011483833	-0.65498066	-0.6558248	-8e-06
2.003967935888639e-11	0.08395672	0.00018703818	-0.6549479	-0.6557919	-8e-06
3.000988517474946e-11	0.083961874	0.0002553667	-0.6548954	-0.6557394	-8e-06
4.002825083462155e-11	0.08395933	0.00032152046	-0.6548235	-0.6556673	-8e-06
5.000026573225641e-11	0.083952926	0.0003873864	-0.6547328	-0.6555766	-8e-06
6.002575823261972e-11	0.08394911	0.000454929	-0.6546231	-0.65546674	-8e-06
7.004367833662496e-11	0.08395152	0.0005230784	-0.6544951	-0.65533864	-8e-06
8.00038055306119e-11	0.083958015	0.00058907934	-0.65434974	-0.65519327	-8e-06
9.00210835896868e-11	0.08396359	0.0006518649	-0.6541862	-0.6550295	-8e-06
1.0003873809547894e-10	0.083964705	0.00071147544	-0.65400505	-0.6548482	-8e-06
1.1000111918099295e-10	0.08396229	0.00076984236	-0.653808	-0.654651	-8e-06
1.2001626403216596e-10	0.08396013	0.0008297755	-0.65359306	-0.6544358	-8e-06
1.3003234629509597e-10	0.083961256	0.00089109887	-0.65336144	-0.654204	-8e-06
1.4004858482054113e-10	0.08396568	0.0009521077	-0.6531134	-0.65395576	-8e-06
1.500117901506831e-10	0.08397081	0.0010103653	-0.65285057	-0.65369266	-8e-06
1.6002753501644494e-10	0.08397403	0.0010661425	-0.6525704	-0.6534122	-8e-06
1.7004328249239033e-10	0.08397483	0.0011205841	-0.6522745	-0.65311605	-8e-06
1.8000622268782613e-10	0.08397473	0.0011752915	-0.6519646	-0.6528059	-8e-06
1.9002190715953846e-10	0.08397568	0.0012316735	-0.65163755	-0.6524785	-8e-06
2.000375344974205e-10	0.08397873	0.0012885662	-0.6512952	-0.6521358	-8e-06
2.1000058659210282e-10	0.0839831	0.0013440392	-0.65093935	-0.6517798	-8e-06
2.2001624600865024e-10	0.08398724	0.0013979162	-0.65056664	-0.65140665	-8e-06
2.3003192289677506e-10	0.083990075	0.0014505072	-0.65017885	-0.6510185	-8e-06
2.4004760475798075e-10	0.083991736	0.0015031286	-0.6497761	-0.6506154	-8e-06
2.5001059298349436e-10	0.08399326	0.0015564318	-0.6493607	-0.6501996	-8e-06
2.6002611191855234e-10	0.083995745	0.0016108515	-0.6489282	-0.6497668	-8e-06
2.7004170785943757e-10	0.08399942	0.0016651732	-0.64848095	-0.64931905	-8e-06
2.8000453262955193e-10	0.08400358	0.00171834	-0.64802134	-0.648859	-8e-06
2.9002000170704374e-10	0.084007345	0.0017708945	-0.6475445	-0.6483818	-8e-06
3.0003324164117e-10	0.084010236	0.001823231	-0.6470531	-0.6478899	-8e-06
3.1004499295406333e-10	0.08401254	0.001876115	-0.64654696	-0.64738333	-8e-06
3.2000423734727184e-10	0.08401498	0.0019295494	-0.6460287	-0.64686465	-8e-06
3.300162259021232e-10	0.08401813	0.0019837506	-0.645493	-0.64632845	-8e-06
3.400280977118015e-10	0.08402192	0.0020378728	-0.64494234	-0.6457773	-8e-06
3.500397298546671e-10	0.0840258	0.0020916304	-0.6443768	-0.6452112	-8e-06
3.600510256065805e-10	0.08402923	0.002145226	-0.64379627	-0.6446302	-8e-06
